Title,Cited by,Year,Authors,Venue,Scholar ID
Reference-less measure of faithfulness for grammatical error correction,41,2018,"L Choshen, O Abend","Proceedings of the 2018 Conference of the North American Chapter of the …, 2018",8b8IhUYAAAAJ:9yKSN-GCB0IC
Cluster & tune: Boost cold start performance in text classification,39,2022,"E Shnarch, A Gera, A Halfon, L Dankin, L Choshen, R Aharonov, ...","Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",8b8IhUYAAAAJ:aqlVkmm33-oC
Where to start? analyzing the potential value of intermediate models,37,2023,"L Choshen, E Venezian, S Don-Yehiya, N Slonim, Y Katz","Proceedings of the 2023 Conference on Empirical Methods in Natural Language …, 2023",8b8IhUYAAAAJ:L8Ckcad2t8MC
Automatic metric validation for grammatical error correction,37,2018,"L Choshen, O Abend","Proceedings of the 56th Annual Meeting of the Association for Computational …, 2018",8b8IhUYAAAAJ:qjMakFHDy7sC
Benchmark agreement testing done right: A guide for llm benchmark evaluation,35,2025,"Y Perlitz, A Gera, O Arviv, A Yehudai, E Bandel, E Shnarch, ...","Annual Conference on Neural Information Processing Systems, 2025",8b8IhUYAAAAJ:ldfaerwXgEUC
Classifying syntactic errors in learner language,30,2020,"L Choshen, D Nikolaev, Y Berzak, O Abend","Proceedings of the 24th conference on computational natural language …, 2020",8b8IhUYAAAAJ:Se3iqnhoufwC
Elements of World Knowledge (EWoK): A Cognition-Inspired Framework for Evaluating Basic World Knowledge in Language Models,29,2025,"AA Ivanova, A Sathe, B Lipkin, UU Kumar, S Radkani, TH Clark, C Kauf, ...","Transactions of the Association for Computational Linguistics 13, 1245-1270, 2025",8b8IhUYAAAAJ:RGFaLdJalmkC
"Deductive closure training of language models for coherence, accuracy, and updatability",29,2024,"AF Akyürek, E Akyürek, L Choshen, DT Wijaya, J Andreas","Findings of the Association for Computational Linguistics: ACL 2024, 9802-9818, 2024",8b8IhUYAAAAJ:bEWYMUwI8FkC
Compress then serve: Serving thousands of lora adapters with little overhead,29,2024,"R Brüel-Gabrielsson, J Zhu, O Bhardwaj, L Choshen, K Greenewald, ...","arXiv preprint arXiv:2407.00066, 2024",8b8IhUYAAAAJ:vV6vV6tmYwMC
When ai benchmarks plateau: A systematic study of benchmark saturation,28,2026,"M Akhtar, A Reuel, P Soni, S Ahuja, PS Ammanamanchi, R Rawal, ...","arXiv preprint arXiv:2602.16763, 2026",8b8IhUYAAAAJ:VOx2b1Wkg3QC
Compeft: Compression for communicating parameter efficient updates via sparsification and quantization,28,2023,"P Yadav, L Choshen, C Raffel, M Bansal","arXiv preprint arXiv:2311.13171, 2023",8b8IhUYAAAAJ:j3f4tGmQtD8C
Label sleuth: From unlabeled text to a classifier in a few hours,28,2022,"E Shnarch, A Halfon, A Gera, M Danilevsky, Y Katsis, L Choshen, ...","Proceedings of the 2022 Conference on Empirical Methods in Natural Language …, 2022",8b8IhUYAAAAJ:dhFuZR0502QC
Sloth: scaling laws for llm skills to predict multi-benchmark performance across families,27,2026,"F Maia Polo, S Somerstep, L Choshen, Y Sun, M Yurochkin","Advances in Neural Information Processing Systems 38, 39511-39556, 2026",8b8IhUYAAAAJ:AXPGKjj_ei8C
A Hitchhiker's guide to scaling law estimation,27,2024,"L Choshen, Y Zhang, J Andreas","arXiv preprint arXiv:2410.11840, 2024",8b8IhUYAAAAJ:4OULZ7Gr8RgC
"Unitxt: Flexible, shareable and reusable data preparation and evaluation for generative ai",27,2024,"E Bandel, Y Perlitz, E Venezian, R Friedman, O Arviv, M Orbach, ...","Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",8b8IhUYAAAAJ:isC4tDSrTZIC
Data contamination report from the 2024 CONDA shared task,26,2024,"O Sainz, I García-Ferrero, A Jacovi, JA Campos, Y Elazar, E Agirre, ...","Proceedings of the 1st Workshop on Data Contamination (CONDA), 41-56, 2024",8b8IhUYAAAAJ:M05iB0D1s5AC
Human learning by model feedback: The dynamics of iterative prompting with midjourney,25,2023,"S Don-Yehiya, L Choshen, O Abend","Proceedings of the 2023 Conference on Empirical Methods in Natural Language …, 2023",8b8IhUYAAAAJ:r0BpntZqJG4C
Automatically extracting challenge sets for non-local phenomena in neural machine translation,23,2019,"L Choshen, O Abend","Proceedings of the 23rd Conference on Computational Natural Language …, 2019",8b8IhUYAAAAJ:ufrVoPGSRksC
Fuse to forget: Bias reduction and selective memorization through model fusion,20,2024,"K Zaman, L Choshen, S Srivastava","Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",8b8IhUYAAAAJ:4JMBOYKVnBMC
"Naturally occurring feedback is common, extractable and useful",20,2024,"S Don-Yehiya, L Choshen, O Abend","arXiv preprint arXiv:2407.10944, 2024",8b8IhUYAAAAJ:uWQEDVKXjbEC
Dove: A large-scale multi-dimensional predictions dataset towards meaningful llm evaluation,19,2025,"E Habba, O Arviv, I Itzhak, Y Perlitz, E Bandel, L Choshen, ...","arXiv preprint arXiv:2503.01622, 2025",8b8IhUYAAAAJ:xtRiw3GOFMkC
Llm merging: Building llms efficiently through merging,19,2024,"D Tam, M Li, P Yadav, RB Gabrielsson, J Zhu, K Greenewald, ...","NeurIPS 2024 Competition Track, 2024",8b8IhUYAAAAJ:HoB7MX3m0LUC
PreQuEL: Quality estimation of machine translation outputs in advance,18,2022,"S Don-Yehiya, L Choshen, O Abend","Proceedings of the 2022 Conference on Empirical Methods in Natural Language …, 2022",8b8IhUYAAAAJ:mVmsd5A6BfQC
Label-efficient model selection for text generation,16,2024,"SA Tahan, A Gera, B Sznajder, L Choshen, LE Dor, E Shnarch","Proceedings of the 62nd Annual Meeting of the Association for Computational …, 2024",8b8IhUYAAAAJ:35N4QoGY0k4C
Unsupervised expressive rules provide explainability and assist human experts grasping new domains,16,2020,"E Shnarch, L Choshen, G Moshkowich, R Aharonov, N Slonim","Findings of the Association for Computational Linguistics: EMNLP 2020, 2678-2697, 2020",8b8IhUYAAAAJ:roLk4NBRz8UC
General agent evaluation,15,2026,"E Bandel, A Yehudai, L Eden, Y Sagron, Y Perlitz, E Venezian, ...","arXiv preprint arXiv:2602.22953, 2026",8b8IhUYAAAAJ:eflP2zaiRacC
The future of open human feedback,15,2025,"S Don-Yehiya, B Burtenshaw, R Fernandez Astudillo, C Osborne, ...","Nature Machine Intelligence 7 (6), 825-835, 2025",8b8IhUYAAAAJ:u_35RYKgDlwC
Livexiv-a multi-modal live benchmark based on arxiv papers content,15,2025,"N Shabtay, F Maia Polo, S Doveh, W Lin, MJ Mirza, L Choshen, ...","International Conference on Learning Representations 2025, 11470-11502, 2025",8b8IhUYAAAAJ:WbkHhVStYXYC
Semantics-aware attention improves neural machine translation,15,2022,"A Slobodkin, L Choshen, O Abend","Proceedings of the 11th Joint Conference on Lexical and Computational …, 2022",8b8IhUYAAAAJ:qxL8FJ1GzNcC
The Mighty ToRR: A Benchmark for Table Reasoning and Robustness in LLMs,14,2026,"SA Tahan, Y Mai, A Gera, Y Perlitz, A Yehudai, E Bandel, L Choshen, ...","Annual Meeting of the Association for Computational Linguistics, 2026",8b8IhUYAAAAJ:EYYDruWGBe4C
Global piqa: Evaluating physical commonsense reasoning across 100+ languages and cultures,14,2025,"TA Chang, C Arnett, A Eldesokey, A Sadallah, A Kashar, A Daud, ...",,8b8IhUYAAAAJ:K3LRdlH-MEoC
The ShareLM collection and plugin: contributing human-model chats for the benefit of the community,13,2025,"S Don-Yehiya, L Choshen, O Abend","Proceedings of the 63rd Annual Meeting of the Association for Computational …, 2025",8b8IhUYAAAAJ:SeFeTyx0c_EC
Reinforcement learning with large action spaces for neural machine translation,13,2022,"A Yehudai, L Choshen, L Fox, O Abend","Proceedings of the 29th International Conference on Computational …, 2022",8b8IhUYAAAAJ:7PzlFSSx8tAC
Mediators in determining what processing BERT performs first,13,2021,"A Slobodkin, L Choshen, O Abend","Proceedings of the 2021 Conference of the North American Chapter of the …, 2021",8b8IhUYAAAAJ:kNdYIx-mwKoC
Beneath the surface of consistency: Exploring cross-lingual knowledge representation sharing in llms,12,2025,"M Ifergan, L Choshen, R Aharoni, I Szpektor, O Abend","Findings of the Association for Computational Linguistics: NAACL 2025, 4630-4644, 2025",8b8IhUYAAAAJ:ZHo1McVdvXMC
SERRANT: a syntactic classifier for English Grammatical Error Types,12,2021,"L Choshen, M Oren, D Nikolaev, O Abend","arXiv preprint arXiv:2104.02310, 2021",8b8IhUYAAAAJ:MXK_kJrjxJIC
GrASP: A library for extracting and exploring human-interpretable textual patterns,10,2022,"P Lertvittayakumjorn, L Choshen, E Shnarch, F Toni","Proceedings of the Thirteenth Language Resources and Evaluation Conference …, 2022",8b8IhUYAAAAJ:3fE2CSJIrl8C
